userName,score,at,content
Minarni AHMAD,1,2025-10-03 07:44:48,apalah dari dulu sering leg sendiri padahal sinyal bagus uda burik sering leg² gajelas
Pw Arip123,5,2025-10-03 07:44:22,Cara hack akun ff
Bapae Ayu,5,2025-10-03 07:42:14,sangat seru tapi terlalu banyak sesen
Fadil Pangestu,5,2025-10-03 07:39:45,FF ini bagus dan keren kasih diamond bang 1000 bang
Sam Shemzz,5,2025-10-03 07:38:43,sangat baik
Tacosbell,5,2025-10-03 07:34:39,sengaja ka kasih mode mode mode pesawat
Tole Realme,5,2025-10-03 07:32:38,game ya enak di main kan bukan kek mobil legen wkwkwkwk
Bintang Azzami,5,2025-10-03 07:25:39,ff sangat seru aku ketagihan aku main2019 👍
Feqri Satria,5,2025-10-03 07:23:01,"sebelum download ff saya sering kejedot pintu, setelah download ff saya sudah tidak kejedot pintu terimakasih ff"
Eza Gionino,5,2025-10-03 07:17:17,ye Ade pintu
loky ariantaka,5,2025-10-03 07:16:20,bagus
Rido Jolek,3,2025-10-03 07:15:52,tolong jaringan nya diperbaikinya apa LG pas main ngelek parah itu aja moga dibaca
Lusiana Arimadi,4,2025-10-03 07:11:50,karena menyiapkan fasilitas 😔👎
Tri Tanggalan,5,2025-10-03 07:11:34,min tolong benerin sinyal nya masak pakai kuota masih ngelag tolong segera di benerin ini sangat menggangu saya apalagi saat bermain
Reydi Setiawan,5,2025-10-03 07:10:59,saran suara tembak nya di max di perbaiki
Nuha Putra,5,2025-10-03 07:10:23,saya hari ini sudah boyyah
Hok Cai,5,2025-10-03 07:04:47,aku suka semoga akun ku gk di band garena
Eka Adelia,5,2025-10-03 07:04:46,keren
Anarita Dos Santos,4,2025-10-03 07:04:04,ini uda bagus si ff tapi tolong tambahin pick atau bidik dan pintu kalo gak ada jadi bahan tawaan game lain sprti pubgdan ML
Captain Kid,5,2025-10-03 07:01:01,game sangat keren dan unik
Ayu Nadiyah,1,2025-10-03 06:55:49,"kanapa sih min banyak bug nya, bikin ngerugiin pelayer lain"
Dikihanifs Dikihanif,5,2025-10-03 06:54:40,keren
